Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/541.png,Real Madrid,38,29,6,3,106,41,65,93,WWWWW,UEFA Champions League,14,4,1,48,20,15,2,2,58,21
2,https://media.api-sports.io/football/teams/529.png,Barcelona,38,28,6,4,116,37,79,90,WWWWW,UEFA Champions League,15,3,1,64,17,13,3,3,52,20
3,https://media.api-sports.io/football/teams/530.png,Atletico Madrid,38,23,9,6,70,27,43,78,WDWWL,UEFA Champions League,14,2,3,40,14,9,7,3,30,13
4,https://media.api-sports.io/football/teams/536.png,Sevilla,38,21,9,8,69,49,20,72,WLDLW,UEFA Champions League Qualifiers,14,4,1,39,16,7,5,7,30,33
5,https://media.api-sports.io/football/teams/533.png,Villarreal,38,19,10,9,56,33,23,67,WDLWW,UEFA Europa League,11,4,4,35,18,8,6,5,21,15
6,https://media.api-sports.io/football/teams/548.png,Real Sociedad,38,19,7,12,59,53,6,64,DDDWW,UEFA Europa League,10,5,4,30,24,9,2,8,29,29
7,https://media.api-sports.io/football/teams/531.png,Athletic Club,38,19,6,13,53,43,10,63,LDLWW,,13,4,2,36,18,6,2,11,17,25
8,https://media.api-sports.io/football/teams/540.png,Espanyol,38,15,11,12,49,50,-1,56,WLWLD,,8,5,6,28,24,7,6,6,21,26
9,https://media.api-sports.io/football/teams/542.png,Alaves,38,14,13,11,41,43,-2,55,DWWWD,,7,8,4,19,21,7,5,7,22,22
10,https://media.api-sports.io/football/teams/545.png,Eibar,38,15,9,14,56,51,5,54,LLLWD,,10,3,6,29,21,5,6,8,27,30
11,https://media.api-sports.io/football/teams/535.png,Malaga,38,12,10,16,49,55,-6,46,LDWWW,,10,2,7,32,25,2,8,9,17,30
12,https://media.api-sports.io/football/teams/532.png,Valencia,38,13,7,18,56,65,-9,46,LWWLL,,8,4,7,32,32,5,3,11,24,33
13,https://media.api-sports.io/football/teams/538.png,Celta Vigo,38,13,6,19,53,69,-16,45,DLLLL,,9,2,8,30,32,4,4,11,23,37
14,https://media.api-sports.io/football/teams/534.png,Las Palmas,38,10,9,19,53,74,-21,39,LLLLL,,9,6,4,33,25,1,3,15,20,49
15,https://media.api-sports.io/football/teams/543.png,Real Betis,38,10,9,19,41,64,-23,39,DDLLL,,6,7,6,22,24,4,2,13,19,40
16,https://media.api-sports.io/football/teams/544.png,Deportivo La Coruna,38,8,12,18,43,61,-18,36,WDLDL,,7,5,7,27,23,1,7,11,16,38
17,https://media.api-sports.io/football/teams/537.png,Leganes,38,8,11,19,36,55,-19,35,DDWLW,,5,6,8,22,23,3,5,11,14,32
18,https://media.api-sports.io/football/teams/731.png,Sporting Gijon,38,7,10,21,42,72,-30,31,DWWLD,Relegation,5,4,10,26,38,2,6,11,16,34
19,https://media.api-sports.io/football/teams/727.png,Osasuna,38,4,10,24,40,94,-54,22,LWLDL,Relegation,2,7,10,23,39,2,3,14,17,55
20,https://media.api-sports.io/football/teams/715.png,Granada CF,38,4,8,26,30,82,-52,20,LLLLL,Relegation,4,4,11,17,32,0,4,15,13,50
