Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/157.png,Bayern Munich,34,24,5,5,97,37,60,77,DDLWW,Promotion - Champions League (Group Stage),13,2,2,48,15,11,3,3,49,22
2,https://media.api-sports.io/football/teams/165.png,Borussia Dortmund,34,22,3,9,85,52,33,69,WWLLW,Promotion - Champions League (Group Stage),13,0,4,52,28,9,3,5,33,24
3,https://media.api-sports.io/football/teams/168.png,Bayer Leverkusen,34,19,7,8,80,47,33,64,WWWWL,Promotion - Champions League (Group Stage),10,2,5,39,23,9,5,3,41,24
4,https://media.api-sports.io/football/teams/173.png,RB Leipzig,34,17,7,10,72,37,35,58,DWLLW,Promotion - Champions League (Group Stage),11,2,4,43,17,6,5,6,29,20
5,https://media.api-sports.io/football/teams/182.png,Union Berlin,34,16,9,9,50,44,6,57,WWDWW,Promotion - Europa League (Group Stage),10,5,2,25,17,6,4,7,25,27
6,https://media.api-sports.io/football/teams/160.png,SC Freiburg,34,15,10,9,58,46,12,55,LLWDW,Promotion - Europa League (Group Stage),8,5,4,32,25,7,5,5,26,21
7,https://media.api-sports.io/football/teams/192.png,FC Koln,34,14,10,10,52,49,3,52,LLWWW,Promotion - Europa Conference League (Qualification),9,4,4,27,21,5,6,6,25,28
8,https://media.api-sports.io/football/teams/164.png,FSV Mainz 05,34,13,7,14,50,45,5,46,DWWLD,,10,5,2,33,11,3,2,12,17,34
9,https://media.api-sports.io/football/teams/167.png,1899 Hoffenheim,34,13,7,14,58,60,-2,46,LLLDD,,8,4,5,34,24,5,3,9,24,36
10,https://media.api-sports.io/football/teams/163.png,Borussia Monchengladbach,34,12,9,13,54,61,-7,45,WDWDL,,8,4,5,33,27,4,5,8,21,34
11,https://media.api-sports.io/football/teams/169.png,Eintracht Frankfurt,34,10,12,12,45,49,-4,42,DDLDL,Promotion - Champions League (Group Stage),4,7,6,20,22,6,5,6,25,27
12,https://media.api-sports.io/football/teams/161.png,VfL Wolfsburg,34,12,6,16,43,54,-11,42,DWDWL,,7,3,7,25,21,5,3,9,18,33
13,https://media.api-sports.io/football/teams/176.png,VfL BOCHUM,34,12,6,16,38,52,-14,42,LWWLL,,8,4,5,21,17,4,2,11,17,35
14,https://media.api-sports.io/football/teams/170.png,FC Augsburg,34,10,8,16,39,56,-17,38,WLLWL,,7,4,6,25,26,3,4,10,14,30
15,https://media.api-sports.io/football/teams/172.png,VfB Stuttgart,34,7,12,15,41,59,-18,33,WDDLD,,6,4,7,28,32,1,8,8,13,27
16,https://media.api-sports.io/football/teams/159.png,Hertha Berlin,34,9,6,19,37,71,-34,33,LLDWW,Bundesliga (Relegation),6,3,8,24,33,3,3,11,13,38
17,https://media.api-sports.io/football/teams/188.png,Arminia Bielefeld,34,5,13,16,27,53,-26,28,DLDLL,Relegation - 2. Bundesliga,2,10,5,15,23,3,3,11,12,30
18,https://media.api-sports.io/football/teams/178.png,SpVgg Greuther Furth,34,3,9,22,28,82,-54,18,LLDLD,Relegation - 2. Bundesliga,3,5,9,15,33,0,4,13,13,49
