Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/157.png,Bayern Munich,34,29,4,1,98,18,80,91,WWDWW,UEFA Champions League,14,2,1,56,11,15,2,0,42,7
2,https://media.api-sports.io/football/teams/165.png,Borussia Dortmund,34,19,9,6,81,42,39,66,LDDWW,UEFA Champions League,10,3,4,40,19,9,6,2,41,23
3,https://media.api-sports.io/football/teams/168.png,Bayer Leverkusen,34,19,8,7,65,39,26,65,WWWWW,UEFA Champions League,12,3,2,36,15,7,5,5,29,24
4,https://media.api-sports.io/football/teams/174.png,FC Schalke 04,34,16,7,11,58,50,8,55,WLWWL,UEFA Champions League Qualifiers,10,3,4,35,22,6,4,7,23,28
5,https://media.api-sports.io/football/teams/160.png,SC Freiburg,34,14,9,11,45,40,5,51,LWWLL,UEFA Europa League,8,4,5,25,18,6,5,6,20,22
6,https://media.api-sports.io/football/teams/169.png,Eintracht Frankfurt,34,14,9,11,49,46,3,51,DDWDW,UEFA Europa League,9,4,4,32,23,5,5,7,17,23
7,https://media.api-sports.io/football/teams/175.png,Hamburger SV,34,14,6,14,42,53,-11,48,LWDLW,,8,2,7,18,18,6,4,7,24,35
8,https://media.api-sports.io/football/teams/163.png,Borussia Monchengladbach,34,12,11,11,45,49,-4,47,LWLLW,,8,5,4,27,20,4,6,7,18,29
9,https://media.api-sports.io/football/teams/166.png,Hannover 96,34,13,6,15,60,62,-2,45,WLDWL,,9,5,3,34,23,4,1,12,26,39
10,https://media.api-sports.io/football/teams/171.png,FC Nurnberg,34,11,11,12,39,47,-8,44,WWLLL,,7,6,4,24,19,4,5,8,15,28
11,https://media.api-sports.io/football/teams/161.png,VfL Wolfsburg,34,10,13,11,47,52,-5,43,DDDWW,,3,8,6,21,30,7,5,5,26,22
12,https://media.api-sports.io/football/teams/172.png,VfB Stuttgart,34,12,7,15,37,55,-18,43,DWLLW,,5,4,8,20,28,7,3,7,17,27
13,https://media.api-sports.io/football/teams/164.png,FSV Mainz 05,34,10,12,12,42,44,-2,42,DLDDL,,7,5,5,22,19,3,7,7,20,25
14,https://media.api-sports.io/football/teams/162.png,Werder Bremen,34,8,10,16,50,66,-16,34,LDDLL,,5,5,7,23,30,3,5,9,27,36
15,https://media.api-sports.io/football/teams/170.png,FC Augsburg,34,8,9,17,33,51,-18,33,WLLWL,,5,5,7,19,22,3,4,10,14,29
16,https://media.api-sports.io/football/teams/167.png,1899 Hoffenheim,34,8,7,19,42,67,-25,31,WLDWL,Relegation Play-off,5,4,8,21,30,3,3,11,21,37
17,https://media.api-sports.io/football/teams/158.png,Fortuna Dusseldorf,34,7,9,18,39,57,-18,30,LLLLL,Relegation,5,6,6,24,28,2,3,12,15,29
18,https://media.api-sports.io/football/teams/178.png,SpVgg Greuther Furth,34,4,9,21,26,60,-34,21,LLWLW,Relegation,0,4,13,10,36,4,5,8,16,24
