Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/496.png,Juventus,38,29,4,5,77,27,50,91,WWLDD,UEFA Champions League,18,1,0,48,9,11,3,5,29,18
2,https://media.api-sports.io/football/teams/497.png,AS Roma,38,28,3,7,90,38,52,87,WWWWL,UEFA Champions League,16,1,2,50,18,12,2,5,40,20
3,https://media.api-sports.io/football/teams/492.png,Napoli,38,26,8,4,94,39,55,86,WWWWW,UEFA Champions League Qualifiers,13,4,2,44,19,13,4,2,50,20
4,https://media.api-sports.io/football/teams/499.png,Atalanta,38,21,9,8,62,41,21,72,WWDDD,UEFA Europa League,12,4,3,31,18,9,5,5,31,23
5,https://media.api-sports.io/football/teams/487.png,Lazio,38,21,7,10,74,51,23,70,LLLWW,UEFA Europa League,12,2,5,40,23,9,5,5,34,28
6,https://media.api-sports.io/football/teams/489.png,AC Milan,38,18,9,11,57,45,12,63,LWDLD,,12,2,5,32,20,6,7,6,25,25
7,https://media.api-sports.io/football/teams/505.png,Inter,38,19,5,14,72,49,23,62,WWLLL,,11,3,5,44,22,8,2,9,28,27
8,https://media.api-sports.io/football/teams/502.png,Fiorentina,38,16,12,10,63,57,6,60,DLWDL,,10,8,1,34,23,6,4,9,29,34
9,https://media.api-sports.io/football/teams/503.png,Torino,38,13,14,11,71,66,5,53,WLLDD,,9,8,2,43,31,4,6,9,28,35
10,https://media.api-sports.io/football/teams/488.png,Sassuolo,38,14,7,17,60,61,-1,49,LWWDW,,8,3,8,29,26,6,4,9,31,35
11,https://media.api-sports.io/football/teams/498.png,Sampdoria,38,12,12,14,49,55,-6,48,LDDLD,,8,6,5,28,23,4,6,9,21,32
12,https://media.api-sports.io/football/teams/490.png,Cagliari,38,14,5,19,55,76,-21,47,WLWLW,,11,3,5,38,34,3,2,14,17,42
13,https://media.api-sports.io/football/teams/494.png,Udinese,38,12,9,17,47,56,-9,45,LDLDL,,8,5,6,30,23,4,4,11,17,33
14,https://media.api-sports.io/football/teams/491.png,Chievo,38,12,7,19,43,61,-18,43,LLDDW,,6,5,8,25,30,6,2,11,18,31
15,https://media.api-sports.io/football/teams/500.png,Bologna,38,11,8,19,40,58,-18,41,LLWLW,,8,2,9,24,25,3,6,10,16,33
16,https://media.api-sports.io/football/teams/495.png,Genoa,38,9,9,20,38,64,-26,36,LWLWL,,6,7,6,24,24,3,2,14,14,40
17,https://media.api-sports.io/football/teams/501.png,Crotone,38,9,7,22,34,58,-24,34,WLWWD,,6,4,9,21,25,3,3,13,13,33
18,https://media.api-sports.io/football/teams/511.png,Empoli,38,8,8,22,29,61,-32,32,LLLWL,Relegation,5,4,10,16,29,3,4,12,13,32
19,https://media.api-sports.io/football/teams/522.png,Palermo,38,6,8,24,33,77,-44,26,WLWDW,Relegation,4,3,12,13,30,2,5,12,20,47
20,https://media.api-sports.io/football/teams/525.png,Pescara,38,2,9,27,35,83,-48,15,DWLLL,Relegation,2,5,12,19,38,0,4,15,16,45
