fixture_id,season,date,match_day,referee,home_team,away_team,home_goals,away_goals,home_results,away_results
710556,2021/22,2021-08-13 19:00:00+00:00,1,M. Oliver,Brentford,Arsenal,2,0,W,L
710561,2021/22,2021-08-14 11:30:00+00:00,1,P. Tierney,Manchester United,Leeds,5,1,W,L
710565,2021/22,2021-08-14 14:00:00+00:00,1,M. Dean,Watford,Aston Villa,3,2,W,L
710557,2021/22,2021-08-14 14:00:00+00:00,1,D. Coote,Burnley,Brighton,1,2,L,W
710559,2021/22,2021-08-14 14:00:00+00:00,1,A. Madley,Everton,Southampton,3,1,W,L
710560,2021/22,2021-08-14 14:00:00+00:00,1,C. Pawson,Leicester,Wolves,1,0,W,L
710558,2021/22,2021-08-14 14:00:00+00:00,1,J. Moss,Chelsea,Crystal Palace,3,0,W,L
710563,2021/22,2021-08-14 16:30:00+00:00,1,A. Marriner,Norwich,Liverpool,0,3,L,W
710562,2021/22,2021-08-15 13:00:00+00:00,1,M. Atkinson,Newcastle,West Ham,2,4,L,W
710564,2021/22,2021-08-15 15:30:00+00:00,1,A. Taylor,Tottenham,Manchester City,1,0,W,L
710571,2021/22,2021-08-21 11:30:00+00:00,2,M. Dean,Liverpool,Burnley,2,0,W,L
710569,2021/22,2021-08-21 14:00:00+00:00,2,M. Atkinson,Crystal Palace,Brentford,0,0,D,D
710572,2021/22,2021-08-21 14:00:00+00:00,2,G. Scott,Manchester City,Norwich,5,0,W,L
710567,2021/22,2021-08-21 14:00:00+00:00,2,D. Coote,Aston Villa,Newcastle,2,0,W,L
710570,2021/22,2021-08-21 14:00:00+00:00,2,D. England,Leeds,Everton,2,2,D,D
710568,2021/22,2021-08-21 16:30:00+00:00,2,A. Taylor,Brighton,Watford,2,0,W,L
710575,2021/22,2021-08-22 13:00:00+00:00,2,S. Attwell,Wolves,Tottenham,0,1,L,W
710573,2021/22,2021-08-22 13:00:00+00:00,2,C. Pawson,Southampton,Manchester United,1,1,D,D
710566,2021/22,2021-08-22 15:30:00+00:00,2,P. Tierney,Arsenal,Chelsea,0,2,L,W
710574,2021/22,2021-08-23 19:00:00+00:00,2,M. Oliver,West Ham,Leicester,4,1,W,L
710580,2021/22,2021-08-28 11:30:00+00:00,3,M. Atkinson,Manchester City,Arsenal,5,0,W,L
710577,2021/22,2021-08-28 14:00:00+00:00,3,J. Moss,Brighton,Everton,0,2,L,W
710581,2021/22,2021-08-28 14:00:00+00:00,3,P. Tierney,Newcastle,Southampton,2,2,D,D
710576,2021/22,2021-08-28 14:00:00+00:00,3,P. Bankes,Aston Villa,Brentford,1,1,D,D
710582,2021/22,2021-08-28 14:00:00+00:00,3,R. Jones,Norwich,Leicester,1,2,L,W
710584,2021/22,2021-08-28 14:00:00+00:00,3,S. Attwell,West Ham,Crystal Palace,2,2,D,D
710579,2021/22,2021-08-28 16:30:00+00:00,3,A. Taylor,Liverpool,Chelsea,1,1,D,D
710578,2021/22,2021-08-29 13:00:00+00:00,3,M. Oliver,Burnley,Leeds,1,1,D,D
710583,2021/22,2021-08-29 13:00:00+00:00,3,A. Marriner,Tottenham,Watford,1,0,W,L
710585,2021/22,2021-08-29 15:30:00+00:00,3,M. Dean,Wolves,Manchester United,0,1,L,W
710589,2021/22,2021-09-11 11:30:00+00:00,4,J. Moss,Crystal Palace,Tottenham,3,0,W,L
710594,2021/22,2021-09-11 14:00:00+00:00,4,D. Coote,Southampton,West Ham,0,0,D,D
710593,2021/22,2021-09-11 14:00:00+00:00,4,A. Taylor,Manchester United,Newcastle,4,1,W,L
710595,2021/22,2021-09-11 14:00:00+00:00,4,P. Bankes,Watford,Wolves,0,2,L,W
710592,2021/22,2021-09-11 14:00:00+00:00,4,P. Tierney,Leicester,Manchester City,0,1,L,W
710587,2021/22,2021-09-11 14:00:00+00:00,4,G. Scott,Brentford,Brighton,0,1,L,W
710586,2021/22,2021-09-11 14:00:00+00:00,4,M. Oliver,Arsenal,Norwich,1,0,W,L
710588,2021/22,2021-09-11 16:30:00+00:00,4,S. Attwell,Chelsea,Aston Villa,3,0,W,L
710591,2021/22,2021-09-12 15:30:00+00:00,4,C. Pawson,Leeds,Liverpool,0,3,L,W
710590,2021/22,2021-09-13 19:00:00+00:00,4,M. Atkinson,Everton,Burnley,3,1,W,L
710601,2021/22,2021-09-17 19:00:00+00:00,5,M. Dean,Newcastle,Leeds,1,1,D,D
710605,2021/22,2021-09-18 11:30:00+00:00,5,D. England,Wolves,Brentford,0,2,L,W
710600,2021/22,2021-09-18 14:00:00+00:00,5,J. Moss,Manchester City,Southampton,0,0,D,D
710599,2021/22,2021-09-18 14:00:00+00:00,5,A. Madley,Liverpool,Crystal Palace,3,0,W,L
710598,2021/22,2021-09-18 14:00:00+00:00,5,A. Taylor,Burnley,Arsenal,0,1,L,W
710602,2021/22,2021-09-18 14:00:00+00:00,5,R. Jones,Norwich,Watford,1,3,L,W
710596,2021/22,2021-09-18 16:30:00+00:00,5,C. Pawson,Aston Villa,Everton,3,0,W,L
710604,2021/22,2021-09-19 13:00:00+00:00,5,M. Atkinson,West Ham,Manchester United,1,2,L,W
710597,2021/22,2021-09-19 13:00:00+00:00,5,S. Attwell,Brighton,Leicester,2,1,W,L
710603,2021/22,2021-09-19 15:30:00+00:00,5,P. Tierney,Tottenham,Chelsea,0,3,L,W
710613,2021/22,2021-09-25 11:30:00+00:00,6,M. Dean,Manchester United,Aston Villa,0,1,L,W
710608,2021/22,2021-09-25 11:30:00+00:00,6,M. Oliver,Chelsea,Manchester City,0,1,L,W
710615,2021/22,2021-09-25 14:00:00+00:00,6,J. Gillett,Watford,Newcastle,1,1,D,D
710610,2021/22,2021-09-25 14:00:00+00:00,6,D. Coote,Everton,Norwich,2,0,W,L
710612,2021/22,2021-09-25 14:00:00+00:00,6,C. Kavanagh,Leicester,Burnley,2,2,D,D
710611,2021/22,2021-09-25 14:00:00+00:00,6,K. Friend,Leeds,West Ham,1,2,L,W
710607,2021/22,2021-09-25 16:30:00+00:00,6,S. Attwell,Brentford,Liverpool,3,3,D,D
710614,2021/22,2021-09-26 13:00:00+00:00,6,A. Madley,Southampton,Wolves,0,1,L,W
710606,2021/22,2021-09-26 15:30:00+00:00,6,C. Pawson,Arsenal,Tottenham,3,1,W,L
710609,2021/22,2021-09-27 19:00:00+00:00,6,A. Marriner,Crystal Palace,Brighton,1,1,D,D
710622,2021/22,2021-10-02 11:30:00+00:00,7,M. Oliver,Manchester United,Everton,1,1,D,D
710625,2021/22,2021-10-02 14:00:00+00:00,7,G. Scott,Wolves,Newcastle,2,1,W,L
710617,2021/22,2021-10-02 14:00:00+00:00,7,K. Friend,Burnley,Norwich,0,0,D,D
710618,2021/22,2021-10-02 14:00:00+00:00,7,M. Atkinson,Chelsea,Southampton,3,1,W,L
710620,2021/22,2021-10-02 14:00:00+00:00,7,S. Hooper,Leeds,Watford,1,0,W,L
710616,2021/22,2021-10-02 16:30:00+00:00,7,J. Moss,Brighton,Arsenal,0,0,D,D
