fixture_id,season,date,match_day,referee,home_team,away_team,home_goals,away_goals,home_results,away_results
157015,2019/20,2019-08-09 19:00:00+00:00,1,"Michael Oliver, England",Liverpool,Norwich,4,1,W,L
157016,2019/20,2019-08-10 11:30:00+00:00,1,"Mike Dean, England",West Ham,Manchester City,0,5,L,W
157017,2019/20,2019-08-10 14:00:00+00:00,1,"Kevin Friend, England",Bournemouth,Sheffield Utd,1,1,D,D
157021,2019/20,2019-08-10 14:00:00+00:00,1,"Craig Pawson, England",Watford,Brighton,0,3,L,W
157018,2019/20,2019-08-10 14:00:00+00:00,1,"Graham Scott, England",Burnley,Southampton,3,0,W,L
157019,2019/20,2019-08-10 14:00:00+00:00,1,"Jonathan Moss, England",Crystal Palace,Everton,0,0,D,D
157022,2019/20,2019-08-10 16:30:00+00:00,1,"Chris Kavanagh, England",Tottenham,Aston Villa,3,1,W,L
157023,2019/20,2019-08-11 13:00:00+00:00,1,"Martin Atkinson, England",Newcastle,Arsenal,0,1,L,W
157020,2019/20,2019-08-11 13:00:00+00:00,1,"Andre Marriner, England",Leicester,Wolves,0,0,D,D
157024,2019/20,2019-08-11 15:30:00+00:00,1,"Anthony Taylor, England",Manchester United,Chelsea,4,0,W,L
157025,2019/20,2019-08-17 11:30:00+00:00,2,"Mike Dean, England",Arsenal,Burnley,2,1,W,L
157027,2019/20,2019-08-17 14:00:00+00:00,2,"Anthony Taylor, England",Brighton,West Ham,1,1,D,D
157029,2019/20,2019-08-17 14:00:00+00:00,2,"Lee Mason, England",Everton,Watford,1,0,W,L
157031,2019/20,2019-08-17 14:00:00+00:00,2,"Stuart Attwell, England",Norwich,Newcastle,3,1,W,L
157026,2019/20,2019-08-17 14:00:00+00:00,2,"Martin Atkinson, England",Aston Villa,Bournemouth,1,2,L,W
157033,2019/20,2019-08-17 14:00:00+00:00,2,"Andre Marriner, England",Southampton,Liverpool,1,2,L,W
157030,2019/20,2019-08-17 16:30:00+00:00,2,"Michael Oliver, England",Manchester City,Tottenham,2,2,D,D
157032,2019/20,2019-08-18 13:00:00+00:00,2,"David Coote, England",Sheffield Utd,Crystal Palace,1,0,W,L
157028,2019/20,2019-08-18 15:30:00+00:00,2,"Graham Scott, England",Chelsea,Leicester,1,1,D,D
157034,2019/20,2019-08-19 19:00:00+00:00,2,"Jonathan Moss, England",Wolves,Manchester United,1,1,D,D
157036,2019/20,2019-08-23 19:00:00+00:00,3,"Michael Oliver, England",Aston Villa,Everton,2,0,W,L
157040,2019/20,2019-08-24 11:30:00+00:00,3,"Martin Atkinson, England",Norwich,Chelsea,2,3,L,W
157043,2019/20,2019-08-24 14:00:00+00:00,3,"Chris Kavanagh, England",Watford,West Ham,1,3,L,W
157039,2019/20,2019-08-24 14:00:00+00:00,3,"Paul Tierney, England",Manchester United,Crystal Palace,1,2,L,W
157041,2019/20,2019-08-24 14:00:00+00:00,3,"Andy Madley, England",Sheffield Utd,Leicester,1,2,L,W
157037,2019/20,2019-08-24 14:00:00+00:00,3,"Kevin Friend, England",Brighton,Southampton,0,2,L,W
157038,2019/20,2019-08-24 16:30:00+00:00,3,"Anthony Taylor, England",Liverpool,Arsenal,3,1,W,L
157035,2019/20,2019-08-25 13:00:00+00:00,3,"Andre Marriner, England",Bournemouth,Manchester City,1,3,L,W
157044,2019/20,2019-08-25 15:30:00+00:00,3,"Craig Pawson, England",Wolves,Burnley,1,1,D,D
157042,2019/20,2019-08-25 15:30:00+00:00,3,"Mike Dean, England",Tottenham,Newcastle,0,1,L,W
157053,2019/20,2019-08-31 11:30:00+00:00,4,"Mike Dean, England",Southampton,Manchester United,1,1,D,D
157050,2019/20,2019-08-31 14:00:00+00:00,4,"Peter Bankes, England",Leicester,Bournemouth,3,1,W,L
157052,2019/20,2019-08-31 14:00:00+00:00,4,"Graham Scott, England",Newcastle,Watford,1,1,D,D
157054,2019/20,2019-08-31 14:00:00+00:00,4,"Paul Tierney, England",West Ham,Norwich,2,0,W,L
157047,2019/20,2019-08-31 14:00:00+00:00,4,"Stuart Attwell, England",Chelsea,Sheffield Utd,2,2,D,D
157048,2019/20,2019-08-31 14:00:00+00:00,4,"Kevin Friend, England",Crystal Palace,Aston Villa,1,0,W,L
157051,2019/20,2019-08-31 14:00:00+00:00,4,"Jonathan Moss, England",Manchester City,Brighton,4,0,W,L
157046,2019/20,2019-08-31 16:30:00+00:00,4,"Chris Kavanagh, England",Burnley,Liverpool,0,3,L,W
157049,2019/20,2019-09-01 13:00:00+00:00,4,"Anthony Taylor, England",Everton,Wolves,3,2,W,L
157045,2019/20,2019-09-01 15:30:00+00:00,4,"Martin Atkinson, England",Arsenal,Tottenham,2,2,D,D
157058,2019/20,2019-09-14 11:30:00+00:00,5,"Andre Marriner, England",Liverpool,Newcastle,3,1,W,L
157059,2019/20,2019-09-14 14:00:00+00:00,5,"Martin Atkinson, England",Manchester United,Leicester,1,0,W,L
157064,2019/20,2019-09-14 14:00:00+00:00,5,"Graham Scott, England",Wolves,Chelsea,2,5,L,W
157062,2019/20,2019-09-14 14:00:00+00:00,5,"Craig Pawson, England",Tottenham,Crystal Palace,4,0,W,L
157057,2019/20,2019-09-14 14:00:00+00:00,5,"Michael Oliver, England",Brighton,Burnley,1,1,D,D
157061,2019/20,2019-09-14 14:00:00+00:00,5,"Lee Mason, England",Sheffield Utd,Southampton,0,1,L,W
157060,2019/20,2019-09-14 16:30:00+00:00,5,"Kevin Friend, England",Norwich,Manchester City,3,2,W,L
157055,2019/20,2019-09-15 13:00:00+00:00,5,"Paul Tierney, England",Bournemouth,Everton,3,1,W,L
157063,2019/20,2019-09-15 15:30:00+00:00,5,"Anthony Taylor, England",Watford,Arsenal,2,2,D,D
157056,2019/20,2019-09-16 19:00:00+00:00,5,"Mike Dean, England",Aston Villa,West Ham,0,0,D,D
157073,2019/20,2019-09-20 19:00:00+00:00,6,"Chris Kavanagh, England",Southampton,Bournemouth,1,3,L,W
157070,2019/20,2019-09-21 11:30:00+00:00,6,"Paul Tierney, England",Leicester,Tottenham,2,1,W,L
