fixture_id,season,date,match_day,referee,home_team,away_team,home_goals,away_goals,home_results,away_results
193438,2012/13,2012-08-18 14:00:00+00:00,1,,Fulham,Norwich,5,0,W,L
193437,2012/13,2012-08-18 14:00:00+00:00,1,,Arsenal,Sunderland,0,0,D,D
193442,2012/13,2012-08-18 14:00:00+00:00,1,,West Ham,Aston Villa,1,0,W,L
193440,2012/13,2012-08-18 14:00:00+00:00,1,,Reading,Stoke City,1,1,D,D
193441,2012/13,2012-08-18 14:00:00+00:00,1,,West Brom,Liverpool,3,0,W,L
193439,2012/13,2012-08-18 14:00:00+00:00,1,,QPR,Swansea,0,5,L,W
193443,2012/13,2012-08-18 16:30:00+00:00,1,,Newcastle,Tottenham,2,1,W,L
193444,2012/13,2012-08-19 12:30:00+00:00,1,,Wigan,Chelsea,0,2,L,W
193445,2012/13,2012-08-19 15:00:00+00:00,1,,Manchester City,Southampton,3,2,W,L
193446,2012/13,2012-08-20 19:00:00+00:00,1,,Everton,Manchester United,1,0,W,L
193457,2012/13,2012-08-22 18:45:00+00:00,3,,Chelsea,Reading,4,2,W,L
193447,2012/13,2012-08-25 11:45:00+00:00,2,,Swansea,West Ham,3,0,W,L
193449,2012/13,2012-08-25 14:00:00+00:00,2,,Manchester United,Fulham,3,2,W,L
193451,2012/13,2012-08-25 14:00:00+00:00,2,,Southampton,Wigan,0,2,L,W
193452,2012/13,2012-08-25 14:00:00+00:00,2,,Tottenham,West Brom,1,1,D,D
193448,2012/13,2012-08-25 14:00:00+00:00,2,,Aston Villa,Everton,1,3,L,W
193450,2012/13,2012-08-25 14:00:00+00:00,2,,Norwich,QPR,1,1,D,D
193453,2012/13,2012-08-25 16:30:00+00:00,2,,Chelsea,Newcastle,2,0,W,L
193454,2012/13,2012-08-26 12:30:00+00:00,2,,Stoke City,Arsenal,0,0,D,D
193455,2012/13,2012-08-26 15:00:00+00:00,2,,Liverpool,Manchester City,2,2,D,D
193458,2012/13,2012-09-01 11:45:00+00:00,3,,West Ham,Fulham,3,0,W,L
193461,2012/13,2012-09-01 14:00:00+00:00,3,,West Brom,Everton,2,0,W,L
193460,2012/13,2012-09-01 14:00:00+00:00,3,,Tottenham,Norwich,1,1,D,D
193459,2012/13,2012-09-01 14:00:00+00:00,3,,Swansea,Sunderland,2,2,D,D
193462,2012/13,2012-09-01 14:00:00+00:00,3,,Wigan,Stoke City,2,2,D,D
193463,2012/13,2012-09-01 16:30:00+00:00,3,,Manchester City,QPR,3,1,W,L
193464,2012/13,2012-09-02 12:30:00+00:00,3,,Liverpool,Arsenal,0,2,L,W
193465,2012/13,2012-09-02 15:00:00+00:00,3,,Newcastle,Aston Villa,1,1,D,D
193466,2012/13,2012-09-02 15:00:00+00:00,3,,Southampton,Manchester United,2,3,L,W
193467,2012/13,2012-09-15 11:45:00+00:00,4,,Norwich,West Ham,0,0,D,D
193468,2012/13,2012-09-15 14:00:00+00:00,4,,Arsenal,Southampton,6,1,W,L
193470,2012/13,2012-09-15 14:00:00+00:00,4,,Fulham,West Brom,3,0,W,L
193471,2012/13,2012-09-15 14:00:00+00:00,4,,Manchester United,Wigan,4,0,W,L
193469,2012/13,2012-09-15 14:00:00+00:00,4,,Aston Villa,Swansea,2,0,W,L
193473,2012/13,2012-09-15 14:00:00+00:00,4,,Stoke City,Manchester City,1,1,D,D
193472,2012/13,2012-09-15 14:00:00+00:00,4,,QPR,Chelsea,0,0,D,D
193474,2012/13,2012-09-15 16:30:00+00:00,4,,Sunderland,Liverpool,1,1,D,D
193475,2012/13,2012-09-16 15:00:00+00:00,4,,Reading,Tottenham,1,3,L,W
193476,2012/13,2012-09-17 19:00:00+00:00,4,,Everton,Newcastle,2,2,D,D
193477,2012/13,2012-09-22 11:45:00+00:00,5,,Swansea,Everton,0,3,L,W
