fixture_id,season,date,match_day,referee,home_team,away_team,home_goals,away_goals,home_results,away_results
193817,2011/12,2011-08-13 14:00:00+00:00,1,,Blackburn,Wolves,1,2,L,W
193818,2011/12,2011-08-13 14:00:00+00:00,1,,Fulham,Aston Villa,0,0,D,D
193819,2011/12,2011-08-13 14:00:00+00:00,1,,Liverpool,Sunderland,1,1,D,D
193820,2011/12,2011-08-13 14:00:00+00:00,1,,QPR,Bolton,0,4,L,W
193821,2011/12,2011-08-13 14:00:00+00:00,1,,Wigan,Norwich,1,1,D,D
193822,2011/12,2011-08-13 16:30:00+00:00,1,,Newcastle,Arsenal,0,0,D,D
193823,2011/12,2011-08-14 12:30:00+00:00,1,,Stoke City,Chelsea,0,0,D,D
193824,2011/12,2011-08-14 15:00:00+00:00,1,,West Brom,Manchester United,1,2,L,W
193825,2011/12,2011-08-15 19:00:00+00:00,1,,Manchester City,Swansea,4,0,W,L
193827,2011/12,2011-08-20 11:00:00+00:00,2,,Sunderland,Newcastle,0,1,L,W
193828,2011/12,2011-08-20 11:45:00+00:00,2,,Arsenal,Liverpool,0,2,L,W
193829,2011/12,2011-08-20 14:00:00+00:00,2,,Aston Villa,Blackburn,3,1,W,L
193830,2011/12,2011-08-20 14:00:00+00:00,2,,Everton,QPR,0,1,L,W
193831,2011/12,2011-08-20 14:00:00+00:00,2,,Swansea,Wigan,0,0,D,D
193832,2011/12,2011-08-20 16:30:00+00:00,2,,Chelsea,West Brom,2,1,W,L
193833,2011/12,2011-08-21 12:30:00+00:00,2,,Norwich,Stoke City,1,1,D,D
193834,2011/12,2011-08-21 13:00:00+00:00,2,,Wolves,Fulham,2,0,W,L
193835,2011/12,2011-08-21 15:00:00+00:00,2,,Bolton,Manchester City,2,3,L,W
193836,2011/12,2011-08-22 19:00:00+00:00,2,,Manchester United,Tottenham,3,0,W,L
193837,2011/12,2011-08-27 11:05:00+00:00,3,,Aston Villa,Wolves,0,0,D,D
193838,2011/12,2011-08-27 11:30:00+00:00,3,,Wigan,QPR,2,0,W,L
193840,2011/12,2011-08-27 14:00:00+00:00,3,,Chelsea,Norwich,3,1,W,L
193839,2011/12,2011-08-27 14:00:00+00:00,3,,Blackburn,Everton,0,1,L,W
193841,2011/12,2011-08-27 14:00:00+00:00,3,,Swansea,Sunderland,0,0,D,D
193842,2011/12,2011-08-27 16:30:00+00:00,3,,Liverpool,Bolton,3,1,W,L
193843,2011/12,2011-08-28 12:00:00+00:00,3,,Newcastle,Fulham,2,1,W,L
193844,2011/12,2011-08-28 12:30:00+00:00,3,,Tottenham,Manchester City,1,5,L,W
193845,2011/12,2011-08-28 14:00:00+00:00,3,,West Brom,Stoke City,0,1,L,W
193846,2011/12,2011-08-28 15:00:00+00:00,3,,Manchester United,Arsenal,8,2,W,L
193847,2011/12,2011-09-10 14:00:00+00:00,4,,Arsenal,Swansea,1,0,W,L
193849,2011/12,2011-09-10 14:00:00+00:00,4,,Manchester City,Wigan,3,0,W,L
193848,2011/12,2011-09-10 14:00:00+00:00,4,,Everton,Aston Villa,2,2,D,D
193852,2011/12,2011-09-10 14:00:00+00:00,4,,Wolves,Tottenham,0,2,L,W
193851,2011/12,2011-09-10 14:00:00+00:00,4,,Sunderland,Chelsea,1,2,L,W
193850,2011/12,2011-09-10 14:00:00+00:00,4,,Stoke City,Liverpool,1,0,W,L
193853,2011/12,2011-09-10 16:30:00+00:00,4,,Bolton,Manchester United,0,5,L,W
193854,2011/12,2011-09-11 12:30:00+00:00,4,,Norwich,West Brom,0,1,L,W
193855,2011/12,2011-09-11 15:00:00+00:00,4,,Fulham,Blackburn,1,1,D,D
193856,2011/12,2011-09-12 19:00:00+00:00,4,,QPR,Newcastle,0,0,D,D
193857,2011/12,2011-09-17 11:45:00+00:00,5,,Blackburn,Arsenal,4,3,W,L
193858,2011/12,2011-09-17 14:00:00+00:00,5,,Aston Villa,Newcastle,1,1,D,D
193859,2011/12,2011-09-17 14:00:00+00:00,5,,Bolton,Norwich,1,2,L,W
193862,2011/12,2011-09-17 14:00:00+00:00,5,,Wolves,QPR,0,3,L,W
193860,2011/12,2011-09-17 14:00:00+00:00,5,,Everton,Wigan,3,1,W,L
193861,2011/12,2011-09-17 14:00:00+00:00,5,,Swansea,West Brom,3,0,W,L
193863,2011/12,2011-09-18 12:30:00+00:00,5,,Tottenham,Liverpool,4,0,W,L
193865,2011/12,2011-09-18 14:00:00+00:00,5,,Sunderland,Stoke City,4,0,W,L
193864,2011/12,2011-09-18 14:00:00+00:00,5,,Fulham,Manchester City,2,2,D,D
193866,2011/12,2011-09-18 15:00:00+00:00,5,,Manchester United,Chelsea,3,1,W,L
193867,2011/12,2011-09-24 11:45:00+00:00,6,,Manchester City,Everton,2,0,W,L
193873,2011/12,2011-09-24 14:00:00+00:00,6,,Wigan,Tottenham,1,2,L,W
193871,2011/12,2011-09-24 14:00:00+00:00,6,,Newcastle,Blackburn,3,1,W,L
193870,2011/12,2011-09-24 14:00:00+00:00,6,,Liverpool,Wolves,2,1,W,L
193872,2011/12,2011-09-24 14:00:00+00:00,6,,West Brom,Fulham,0,0,D,D
193868,2011/12,2011-09-24 14:00:00+00:00,6,,Arsenal,Bolton,3,0,W,L
193869,2011/12,2011-09-24 14:00:00+00:00,6,,Chelsea,Swansea,4,1,W,L
193874,2011/12,2011-09-24 16:30:00+00:00,6,,Stoke City,Manchester United,1,1,D,D
193875,2011/12,2011-09-25 15:00:00+00:00,6,,QPR,Aston Villa,1,1,D,D
193876,2011/12,2011-09-26 19:00:00+00:00,6,,Norwich,Sunderland,2,1,W,L
