fixture_id,home_XGoals,away_XGoals,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_shots,away_shots,home_shots_on_goal,away_shots_on_goal,home_gk_saves,away_gk_saves,home_possession,away_possession,home_pass_accuracy,away_pass_accuracy,home_offsides,away_offsides,home_fouls,away_fouls
1208389,2.73,1.21,4,5,1,1,13,6,5,2,2,2,50%,50%,87%,87%,2,1,6,10
1208392,1.13,1.96,8,7,6,3,16,10,5,5,3,4,61%,39%,87%,79%,0,2,14,7
1208390,0.80,1.41,2,2,1,0,9,20,3,2,2,1,51%,49%,84%,86%,0,4,15,12
1208385,2.87,0.99,5,3,4,4,11,16,6,7,4,3,51%,49%,78%,85%,0,0,12,8
1208383,0.64,1.86,10,7,3,3,12,14,4,5,5,3,51%,49%,83%,83%,0,0,9,9
1208386,2.20,2.23,3,3,1,0,25,18,12,5,3,9,49%,51%,87%,87%,2,1,9,8
1208391,1.54,1.12,3,1,1,3,12,8,5,2,1,2,57%,43%,90%,86%,2,3,7,13
1208388,1.66,1.41,0,9,1,2,14,12,10,3,1,6,31%,69%,74%,87%,2,0,14,8
1208397,2.95,0.39,4,3,2,2,25,6,10,1,1,8,67%,33%,88%,72%,5,3,10,10
1208398,1.27,1.16,12,3,1,4,17,14,6,6,5,6,65%,35%,88%,78%,0,0,12,9
1208393,1.62,0.27,6,1,0,2,20,3,7,0,0,5,63%,37%,82%,74%,2,2,19,16
1208394,1.28,2.99,1,6,0,0,13,20,3,5,3,3,47%,53%,85%,86%,2,0,11,5
1208402,1.04,1.43,8,3,2,1,18,13,6,7,6,5,49%,51%,82%,84%,3,1,7,9
1208396,2.14,1.77,11,0,2,0,14,8,3,5,4,2,69%,31%,87%,71%,1,2,7,10
1208400,0.62,2.39,5,8,0,0,7,23,2,8,6,1,38%,62%,82%,91%,1,1,7,8
1208401,2.03,2.24,2,11,3,1,4,23,2,8,4,1,33%,67%,76%,89%,1,2,13,8
1208395,0.74,1.08,4,0,1,1,14,10,4,6,3,3,41%,59%,84%,87%,2,1,10,9
1208399,1.20,1.09,7,4,2,2,10,6,2,2,1,2,52%,48%,84%,80%,5,1,10,11
