Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/85.png,Paris Saint Germain,38,29,6,3,108,29,79,93,DLDDW,UEFA Champions League,17,1,1,70,15,12,5,2,38,14
2,https://media.api-sports.io/football/teams/91.png,Monaco,38,24,8,6,85,45,40,80,WWWDL,UEFA Champions League,15,3,1,47,17,9,5,5,38,28
4,https://media.api-sports.io/football/teams/81.png,Marseille,38,22,11,5,80,47,33,77,WDWDW,UEFA Champions League Qualifiers,12,5,2,44,19,10,6,3,36,28
3,https://media.api-sports.io/football/teams/80.png,Lyon,38,23,9,6,87,43,44,78,WLWWW,UEFA Europa League,12,5,2,38,18,11,4,4,49,25
9,https://media.api-sports.io/football/teams/83.png,Nantes,38,14,10,14,36,41,-5,52,WWLLD,,8,4,7,15,17,6,6,7,21,24
10,https://media.api-sports.io/football/teams/82.png,Montpellier,38,11,18,9,36,33,3,51,DDWLL,,5,9,5,20,19,6,9,4,16,14
6,https://media.api-sports.io/football/teams/78.png,Bordeaux,38,16,7,15,53,48,5,55,WWWWL,,9,4,6,27,23,7,3,9,26,25
5,https://media.api-sports.io/football/teams/94.png,Rennes,38,16,10,12,50,44,6,58,DWWWD,,8,4,7,21,22,8,6,5,29,22
8,https://media.api-sports.io/football/teams/84.png,Nice,38,15,9,14,53,52,1,54,LWLDW,,10,3,6,29,23,5,6,8,24,29
12,https://media.api-sports.io/football/teams/90.png,Guingamp,38,12,11,15,48,59,-11,47,LDLDW,,8,7,4,30,24,4,4,11,18,35
16,https://media.api-sports.io/football/teams/88.png,Caen,38,10,8,20,27,52,-25,38,DLLLD,,7,5,7,17,19,3,3,13,10,33
11,https://media.api-sports.io/football/teams/89.png,Dijon,38,13,9,16,55,73,-18,48,WLWLL,,11,3,5,35,28,2,6,11,20,45
15,https://media.api-sports.io/football/teams/95.png,Strasbourg,38,9,11,18,44,67,-23,38,LWLDL,,7,6,6,27,27,2,5,12,17,40
7,https://media.api-sports.io/football/teams/1063.png,Saint Etienne,38,15,10,13,47,50,-3,55,WLLWW,,8,7,4,32,27,7,3,9,15,23
18,https://media.api-sports.io/football/teams/96.png,Toulouse,38,9,10,19,38,54,-16,37,WLLLD,,7,5,7,23,21,2,5,12,15,33
17,https://media.api-sports.io/football/teams/79.png,Lille,38,10,8,20,41,67,-26,38,LWWWL,,6,6,7,24,27,4,2,13,17,40
13,https://media.api-sports.io/football/teams/87.png,Amiens,38,12,9,17,37,42,-5,45,LWDDW,,8,5,6,26,19,4,4,11,11,23
14,https://media.api-sports.io/football/teams/77.png,Angers,38,9,14,15,42,52,-10,41,LLWDL,Relegation Play-off,5,7,7,23,28,4,7,8,19,24
19,https://media.api-sports.io/football/teams/110.png,Estac Troyes,38,9,6,23,32,59,-27,33,LDLWL,Relegation,7,3,9,17,22,2,3,14,15,37
20,https://media.api-sports.io/football/teams/112.png,Metz,38,6,8,24,34,76,-42,26,LLLLD,Relegation,3,4,12,16,37,3,4,12,18,39
