Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/85.png,Paris Saint Germain,38,29,4,5,105,35,70,91,LWWDL,Promotion - Champions League (Group Stage),17,2,0,63,10,12,2,5,42,25
2,https://media.api-sports.io/football/teams/79.png,Lille,38,22,9,7,68,33,35,75,LWWDW,Promotion - Champions League (Group Stage),13,4,2,42,11,9,5,5,26,22
3,https://media.api-sports.io/football/teams/80.png,Lyon,38,21,9,8,70,47,23,72,WWWDW,Promotion - Champions League (Group Stage),12,4,3,38,19,9,5,5,32,28
4,https://media.api-sports.io/football/teams/1063.png,Saint Etienne,38,19,9,10,59,41,18,66,DWLWW,Promotion - Europa League (Group Stage),13,2,4,34,14,6,7,6,25,27
5,https://media.api-sports.io/football/teams/81.png,Marseille,38,18,7,13,60,52,8,61,WWLDL,,11,4,4,31,17,7,3,9,29,35
6,https://media.api-sports.io/football/teams/82.png,Montpellier,38,15,14,9,53,42,11,59,LDWDW,,8,8,3,31,20,7,6,6,22,22
7,https://media.api-sports.io/football/teams/84.png,Nice,38,15,11,12,30,35,-5,56,WLDDW,,10,4,5,19,14,5,7,7,11,21
8,https://media.api-sports.io/football/teams/93.png,Reims,38,13,16,9,39,42,-3,55,WWLLD,,8,7,4,21,18,5,9,5,18,24
9,https://media.api-sports.io/football/teams/92.png,Nimes,38,15,8,15,57,58,-1,53,LDWWL,,9,5,5,30,20,6,3,10,27,38
10,https://media.api-sports.io/football/teams/94.png,Rennes,38,13,13,12,55,52,3,52,WWDDD,Promotion - Europa League (Group Stage),8,7,4,27,18,5,6,8,28,34
11,https://media.api-sports.io/football/teams/95.png,Strasbourg,38,11,16,11,58,48,10,49,WLLDD,Promotion - Europa League (Qualification),6,8,5,31,25,5,8,6,27,23
12,https://media.api-sports.io/football/teams/83.png,Nantes,38,13,9,16,48,48,0,48,LDDWW,,9,4,6,35,24,4,5,10,13,24
13,https://media.api-sports.io/football/teams/77.png,Angers,38,10,16,12,44,49,-5,46,DLLWD,,5,9,5,24,22,5,7,7,20,27
14,https://media.api-sports.io/football/teams/78.png,Bordeaux,38,10,11,17,34,42,-8,41,WLLLL,,7,6,6,24,21,3,5,11,10,21
15,https://media.api-sports.io/football/teams/87.png,Amiens,38,9,11,18,31,52,-21,38,WLDDD,,7,5,7,20,22,2,6,11,11,30
16,https://media.api-sports.io/football/teams/96.png,Toulouse,38,8,14,16,35,57,-22,38,LLDDL,,4,9,6,20,26,4,5,10,15,31
17,https://media.api-sports.io/football/teams/91.png,Monaco,38,8,12,18,38,57,-19,36,LWLLD,,4,6,9,19,29,4,6,9,19,28
18,https://media.api-sports.io/football/teams/89.png,Dijon,38,9,7,22,31,60,-29,34,WLWLL,Ligue 1 (Relegation),6,4,9,18,29,3,3,13,13,31
19,https://media.api-sports.io/football/teams/88.png,Caen,38,7,12,19,29,54,-25,33,LLWDW,Relegation - Ligue 2,4,5,10,16,27,3,7,9,13,27
20,https://media.api-sports.io/football/teams/90.png,Guingamp,38,5,12,21,28,68,-40,27,LDDDL,Relegation - Ligue 2,3,7,9,16,27,2,5,12,12,41
