Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/49.png,Chelsea,38,26,9,3,73,32,41,87,WLDWW,UEFA Champions League,15,4,0,36,9,11,5,3,37,23
2,https://media.api-sports.io/football/teams/50.png,Manchester City,38,24,7,7,83,38,45,79,WWWWW,UEFA Champions League,14,3,2,44,14,10,4,5,39,24
3,https://media.api-sports.io/football/teams/42.png,Arsenal,38,22,9,7,71,36,35,75,WDDLW,UEFA Champions League,12,5,2,41,14,10,4,5,30,22
4,https://media.api-sports.io/football/teams/33.png,Manchester United,38,20,10,8,62,37,25,70,DDWLL,UEFA Champions League Qualifiers,14,2,3,41,15,6,8,5,21,22
5,https://media.api-sports.io/football/teams/47.png,Tottenham,38,19,7,12,58,53,5,64,WWLLD,UEFA Europa League,10,3,6,31,24,9,4,6,27,29
6,https://media.api-sports.io/football/teams/40.png,Liverpool,38,18,8,12,52,48,4,62,LLDWL,,10,5,4,30,20,8,3,8,22,28
7,https://media.api-sports.io/football/teams/41.png,Southampton,38,18,6,14,54,33,21,60,LWLLD,,11,4,4,37,13,7,2,10,17,20
8,https://media.api-sports.io/football/teams/76.png,Swansea,38,16,8,14,46,49,-3,56,LLWWW,,9,5,5,27,22,7,3,9,19,27
9,https://media.api-sports.io/football/teams/75.png,Stoke City,38,15,9,14,48,45,3,54,WDWLD,,10,3,6,32,22,5,6,8,16,23
10,https://media.api-sports.io/football/teams/52.png,Crystal Palace,38,13,9,16,47,51,-4,48,WWLLL,,6,3,10,21,27,7,6,6,26,24
11,https://media.api-sports.io/football/teams/45.png,Everton,38,12,11,15,48,50,-2,47,LWLLW,,7,7,5,27,21,5,4,10,21,29
12,https://media.api-sports.io/football/teams/48.png,West Ham,38,12,11,15,44,47,-3,47,LLLWD,,9,4,6,25,18,3,7,9,19,29
13,https://media.api-sports.io/football/teams/60.png,West Brom,38,11,11,16,38,51,-13,44,LWDWD,,7,4,8,24,26,4,7,8,14,25
14,https://media.api-sports.io/football/teams/46.png,Leicester,38,11,8,19,46,55,-9,41,WDWWL,,7,5,7,28,22,4,3,12,18,33
15,https://media.api-sports.io/football/teams/34.png,Newcastle,38,10,9,19,40,63,-23,39,WLDLL,,7,5,7,26,27,3,4,12,14,36
16,https://media.api-sports.io/football/teams/746.png,Sunderland,38,7,17,14,31,53,-22,38,LDDWW,,4,8,7,16,27,3,9,7,15,26
17,https://media.api-sports.io/football/teams/66.png,Aston Villa,38,10,8,20,31,57,-26,38,LLWWL,,5,6,8,18,25,5,2,12,13,32
18,https://media.api-sports.io/football/teams/64.png,Hull City,38,8,11,19,33,51,-18,35,DLLLW,Relegation,5,5,9,19,24,3,6,10,14,27
19,https://media.api-sports.io/football/teams/44.png,Burnley,38,7,12,19,28,53,-25,33,WDWLL,Relegation,4,7,8,14,21,3,5,11,14,32
20,https://media.api-sports.io/football/teams/72.png,QPR,38,8,6,24,42,73,-31,30,LWLLD,Relegation,6,5,8,23,24,2,1,16,19,49
