Rank,Logo,Team,MP,W,D,L,GF,GA,GD,Pts,Form,Qualification,Home_wins,Home_draw,Home_lose,Home_goals_for,Home_goals_against,Away_wins,Away_draw,Away_lose,Away_goals_for,Away_goals_against
1,https://media.api-sports.io/football/teams/40.png,Liverpool,38,32,3,3,85,33,52,99,WWLDW,Promotion - Champions League (Group Stage),18,1,0,52,16,14,2,3,33,17
2,https://media.api-sports.io/football/teams/50.png,Manchester City,38,26,3,9,102,35,67,81,WWWWW,Promotion - Champions League (Group Stage),15,2,2,57,13,11,1,7,45,22
3,https://media.api-sports.io/football/teams/33.png,Manchester United,38,18,12,8,66,36,30,66,WDWDW,Promotion - Champions League (Group Stage),10,7,2,40,17,8,5,6,26,19
4,https://media.api-sports.io/football/teams/49.png,Chelsea,38,20,6,12,69,54,15,66,WLWLW,Promotion - Champions League (Group Stage),11,3,5,30,16,9,3,7,39,38
5,https://media.api-sports.io/football/teams/46.png,Leicester,38,18,8,12,67,41,26,62,LLWLD,Promotion - Europa League (Group Stage),11,4,4,35,17,7,4,8,32,24
6,https://media.api-sports.io/football/teams/47.png,Tottenham,38,16,11,11,61,47,14,59,DWWWD,Promotion - Europa League (Qualification),12,3,4,36,17,4,8,7,25,30
7,https://media.api-sports.io/football/teams/39.png,Wolves,38,15,14,9,51,40,11,59,LWDWL,,8,7,4,27,19,7,7,5,24,21
8,https://media.api-sports.io/football/teams/42.png,Arsenal,38,14,14,10,56,48,8,56,WLWLD,,10,6,3,36,24,4,8,7,20,24
9,https://media.api-sports.io/football/teams/62.png,Sheffield Utd,38,14,12,12,39,39,0,54,LLLWW,,10,3,6,24,15,4,9,6,15,24
10,https://media.api-sports.io/football/teams/44.png,Burnley,38,15,9,14,43,50,-7,54,LWDDW,,8,4,7,24,23,7,5,7,19,27
11,https://media.api-sports.io/football/teams/41.png,Southampton,38,15,7,16,51,60,-9,52,WWDDD,,6,3,10,21,35,9,4,6,30,25
12,https://media.api-sports.io/football/teams/45.png,Everton,38,13,10,15,44,56,-12,49,LWDLD,,8,7,4,24,21,5,3,11,20,35
13,https://media.api-sports.io/football/teams/34.png,Newcastle,38,11,11,16,38,58,-20,44,LDLLL,,6,8,5,20,21,5,3,11,18,37
14,https://media.api-sports.io/football/teams/52.png,Crystal Palace,38,11,10,17,31,50,-19,43,DLLLL,,6,5,8,15,20,5,5,9,16,30
15,https://media.api-sports.io/football/teams/51.png,Brighton,38,9,14,15,39,54,-15,41,WDDLL,,5,7,7,20,27,4,7,8,19,27
16,https://media.api-sports.io/football/teams/48.png,West Ham,38,10,9,19,49,62,-13,39,DDWWL,,6,4,9,30,33,4,5,10,19,29
17,https://media.api-sports.io/football/teams/66.png,Aston Villa,38,9,8,21,41,67,-26,35,DWDWL,,7,3,9,22,30,2,5,12,19,37
18,https://media.api-sports.io/football/teams/35.png,Bournemouth,38,9,7,22,40,65,-25,34,WLLWD,Relegation - Championship,5,6,8,22,30,4,1,14,18,35
19,https://media.api-sports.io/football/teams/38.png,Watford,38,8,10,20,36,64,-28,34,LLLWW,Relegation - Championship,6,6,7,22,27,2,4,13,14,37
20,https://media.api-sports.io/football/teams/71.png,Norwich,38,5,6,27,26,75,-49,21,LLLLL,Relegation - Championship,4,3,12,19,37,1,3,15,7,38
